sed	met	ign	cover	lat	lon	slope
1.0	0.0	0.0	0.0	35.54563193622856	-85.22844439996481	48.17333333333333
1.0	0.0	0.0	0.0	11.031188904038302	-12.685146732303224	134.26666666666668
0.0	0.0	0.0	1.0	-19.03732014096053	121.99345661214795	4.302222222222222
0.0	0.0	1.0	0.0	57.0518254584484	-71.82048847662499	18.515555555555554
1.0	0.0	0.0	0.0	37.479417875539774	-100.7996107654228	2.6444444444444444
0.0	0.0	0.0	1.0	-29.579604561240103	142.73376525534434	1.0
0.0	0.0	0.0	0.0	22.124390341780256	90.54532313929712	2.5866666666666664
0.0	0.0	1.0	0.0	11.721109615290047	38.644285869594256	238.51555555555555
1.0	0.0	0.0	0.0	55.694258213548736	33.76933077175707	15.493333333333334
1.0	0.0	0.0	0.0	37.94509460175643	100.4100159808952	164.42222222222222
1.0	0.0	0.0	0.0	26.27871744516075	90.83285275076497	3.506666666666667
0.0	0.0	1.0	0.0	14.272988891982138	121.29248965143569	2.968888888888889
1.0	0.0	0.0	0.0	31.60651489082982	76.6610644758706	48.586666666666666
0.0	0.0	0.0	1.0	-32.39513600384947	147.64271289337415	1.9555555555555555
0.0	0.0	1.0	0.0	-5.966899140907898	-50.21757380481378	26.871111111111112
1.0	0.0	0.0	0.0	34.74873511737127	137.42502349828357	41.742222222222225
1.0	0.0	0.0	0.0	17.761407563424186	-11.358701431575781	58.684444444444445
1.0	0.0	0.0	0.0	60.19221301768435	67.85511050951163	7.168888888888889
1.0	0.0	0.0	0.0	15.837710785941994	-11.235913583747902	9.715555555555556
1.0	0.0	0.0	0.0	-27.541266994198352	27.88308564951717	20.226666666666667
1.0	0.0	0.0	0.0	19.774289703374478	-89.22132529543708	10.622222222222222
1.0	0.0	0.0	0.0	-14.726371578140245	17.5575956311244	16.12
1.0	0.0	0.0	0.0	30.446909573066982	49.51012852742946	1.6933333333333334
1.0	0.0	0.0	0.0	49.70025786801179	55.62617848410429	12.017777777777777
1.0	0.0	0.0	0.0	15.78710779683071	80.98949842103218	2.7022222222222223
0.0	0.0	0.0	1.0	-73.75719535666528	77.76389804182094	5.666666666666667
1.0	0.0	0.0	0.0	64.38321771670473	162.31983147711014	220.61777777777777
0.0	0.0	1.0	0.0	-0.7941196346274495	119.71610577051109	159.13333333333333
1.0	0.0	0.0	0.0	25.55635412478405	10.559732093408087	34.275555555555556
1.0	0.0	0.0	0.0	71.26805646948687	127.5900601547985	204.82666666666665
0.0	0.0	0.0	1.0	-77.32071178515363	8.338612144983927	2.04
1.0	0.0	0.0	0.0	53.397304931453334	89.61347110201308	145.51111111111112
1.0	0.0	0.0	0.0	-30.028816674190296	135.88244949066836	5.306666666666667
1.0	0.0	0.0	0.0	44.6859153958356	44.958526743212616	2.3777777777777778
0.0	0.0	1.0	0.0	-36.26126039002567	148.8202808710751	56.18222222222222
0.0	0.0	1.0	0.0	25.165182353640617	79.56330378685851	9.515555555555556
0.0	1.0	0.0	0.0	22.88839003794928	5.917779734483531	95.45333333333333
0.0	0.0	1.0	0.0	60.46251073282482	-72.96223393095306	21.977777777777778
1.0	0.0	0.0	0.0	24.860024483264922	0.18285358788548933	1.3733333333333333
1.0	0.0	0.0	0.0	56.4964566245491	79.66820270064397	2.28
1.0	0.0	0.0	0.0	8.727702082173096	45.05808776260102	4.746666666666667
1.0	0.0	0.0	0.0	20.583213232534405	54.954631859123566	11.573333333333334
1.0	0.0	0.0	0.0	-5.172832142324964	143.07097815852012	252.98222222222222
1.0	0.0	0.0	0.0	58.23036102118595	53.117617187973934	31.102222222222224
1.0	0.0	0.0	0.0	5.660661375982755	-54.68462696792827	4.751111111111111
1.0	0.0	0.0	0.0	-13.394054050853455	-71.42305276279465	231.10666666666665
1.0	0.0	0.0	0.0	40.44393739725999	88.78040324676391	5.848888888888889
0.0	1.0	0.0	0.0	41.638306940064716	27.729401105082786	53.71111111111111
0.0	0.0	0.0	1.0	-27.43940792540063	148.4471958385027	2.462222222222222
0.0	0.0	0.0	1.0	-28.60567722196089	133.2814697119249	5.071111111111111
1.0	0.0	0.0	0.0	22.74757723522164	28.65802715161277	0.9911111111111112
1.0	0.0	0.0	0.0	53.36337111090544	-7.369379960543512	9.2
1.0	0.0	0.0	0.0	31.2731902543594	102.47121812941424	371.0488888888889
0.0	1.0	0.0	0.0	4.665904986452517	12.170043029827497	24.297777777777778
1.0	0.0	0.0	0.0	52.217856147156134	-83.0753304128862	1.9288888888888889
0.0	0.0	1.0	0.0	50.462749504983435	102.3340997549742	107.94222222222223
0.0	0.0	1.0	0.0	41.2173418751749	-119.63037408920732	64.28
1.0	0.0	0.0	0.0	15.906439522674347	32.046308772428375	6.266666666666667
0.0	0.0	0.0	1.0	-34.955297647256785	143.09369254180535	4.982222222222222
1.0	0.0	0.0	0.0	-11.226246114445402	-66.82645399955464	9.484444444444444
1.0	0.0	0.0	0.0	58.183656107366645	92.70917203106404	26.613333333333333
0.0	0.0	1.0	0.0	59.097263431657765	-98.35919006254595	14.6
1.0	0.0	0.0	0.0	48.878369090018694	82.26763164294988	64.26222222222222
1.0	0.0	0.0	0.0	68.8604357768739	-148.18039601149073	186.60444444444445
0.0	0.0	1.0	0.0	2.4021202228606455	-67.17689163316709	12.062222222222223
1.0	0.0	0.0	0.0	18.793795267183313	54.00101769049695	4.337777777777778
0.0	0.0	1.0	0.0	5.678334722977581	-74.72994822115626	20.857777777777777
1.0	0.0	0.0	0.0	29.18926290744416	17.69173432411543	21.573333333333334
