avg_slope	err
253.45524019060014	151.05321001160473
268.4916344916345	153.08354938316154
331.57654549755557	153.23434889884766
335.44583715839275	144.58353168589346
286.3488644965935	143.20420021187573
286.3488644965935	143.20420021187573
290.1398051549555	151.89625153031187
333.2514832535885	141.72560743311337
329.21195499296766	141.03394513671182
327.31302521008405	137.98750899970042
330.1101433739783	145.03831297368575
370.69622215957145	160.27988981440052
408.54874964877774	173.86904212173084
362.98710148454614	143.96090456755655
225.5647718955843	124.45983194961629
436.95696721311475	178.67576375688506
345.179769894535	122.85196017208877
369.8331735378715	142.12564094861884
343.26318383440116	122.19345063715812
446.5288629737609	194.55320162393966
290.8413223140496	128.2948666761626
358.85625	142.08053409021883
356.7225433526012	127.81973078072573
356.7225433526012	127.81973078072573
356.7225433526012	127.81973078072573
259.0	120.00264334006211
359.9866310160428	118.66816628666498
356.69821673525377	149.9925071740387
324.91747572815535	120.12340218479825
310.71646859083194	135.83970176374447
152.42537313432837	101.11462002617664
402.1272727272727	125.55689591479951
338.3935574229692	121.35844240631849
318.49221183800626	132.23755665508926
315.62762762762765	122.40912323549502
48.89571045009619	49.27014676843492
48.89571045009619	49.27014676843492
405.5263157894737	204.05900742950425
379.2083333333333	112.18345966847521
455.2591362126246	242.70945447438052
418.8888888888889	88.1968979639166
343.22935779816515	119.80595932552043
418.8888888888889	88.1968979639166
54.13518582065135	50.06598493777229
301.27830188679246	118.89568051235548
418.8888888888889	88.1968979639166
59.428838531833286	51.11865358157543
39.68329810427065	33.53235457565619
311.020202020202	127.63482806820241
418.8888888888889	88.1968979639166
39.68329810427065	33.53235457565619
343.9415584415584	118.83410950509584
386.22147651006713	95.91605603814878
338.53237410071944	126.60244188857055
444.4108527131783	122.73380827546437
173.88709677419354	82.95637110523765
402.1272727272727	125.55689591479951
40.07419029474392	33.550527376609125
402.1272727272727	125.55689591479951
410.9126213592233	112.58566296738766
43.066230799632905	33.102799561368435
410.9126213592233	112.58566296738766
365.1666666666667	86.9849093744108
395.85714285714283	92.62906054334599
43.066230799632905	33.102799561368435
43.066230799632905	33.102799561368435
54.51388843661467	45.907038230827865
42.73370493743498	32.792872634700984
65.9	56.524683811688035
65.9	56.524683811688035
60.530765506371495	51.77805696239047
69.54249991521496	57.07145677805352
69.54249991521496	57.07145677805352
59.855684826911876	51.000493982458366
